default_store_number,location_number,building_name,optima_name,gross_internal_area_square_feet,_retail_area_square_feet
214,6021499,Penrith Brunswick Rd - Generic,Penrith Brunswick Road,57271,29869
215,6021599,Stockport Bredbury Stockport Rd West - Generic,Stockport Bredbury,68031,32371
216,6021699,Stockport Reddish Rd - Generic,Stockport Reddish,52604,26541
217,6021799,Swinton Swinton Hall Rd - Generic,Swinton Swinton Hall Road,53971,24473
218,6021899,Cleveleys Amounderness Way - Generic,Thornton Cleveleys,71906,36284
219,6021999,Todmorden Rochdale Rd - Generic,Todmorden Rochdale Road,25976,12882
220,6022099,West Kirby Dee Lane - Generic,West Kirby Dee Lane,45247,17193
221,6022199,Whitehaven Flatt Walks - Generic,Whitehaven Flatt Walks,50537,23960
223,6022399,Workington Derwent Drive - Generic,Workington Derwent Retail Park,46993,27007
224,6022499,Bridlington Bessingby Rd - Generic,Bridlington Bessingby Road,49587,21807
225,6022599,Chesterfield Chatsworth Rd - Generic,Chesterfield Chatsworth Road,55703,24014
226,6022699,Malton Castlegate - Generic,Malton Castlegate,36382,19741
227,6022799,Meltham Station St - Generic,Meltham Station Street,29040,13196
228,6022899,Selby Market Cross - Generic,Selby Market Cross,48255,24165
229,6022999,Sheffield Meadowhead - Generic,Sheffield Meadowhead,50923,23368
230,6023099,York Acomb Front Street - Generic,York Acomb,38041,20996
231,6023199,Belper Chapel Street - Generic,Belper Chapel Street,46188,28842
232,6023299,Corby Oakley Rd - Generic,Corby Snatch Hill,57316,25058
233,6023399,Hinckley Stoke Rd - Generic,Hinckley Stoke Road,72592,33042
234,6023499,Leicester Aylestone Rd - Generic,Leicester Freemans Park,64737,33154
235,6023599,Loughborough Maxwell Rd - Generic,Loughborough Thorpe Acre,41850,20634
236,6023699,Melton Mowbray Sherrard St - Generic,Melton Mowbray Sherrard Street,40148,20450
237,6023799,Northampton Kettering Rd - Generic,Northampton Kettering Road,72241,35760
238,6023899,Nottingham Gamston Lings Bar Rd - Generic,Nottingham Gamston,93135,43781
239,6023999,Eastwood Derby Rd - Generic,Nottingham Eastwood,49018,26682
240,6024099,Aberystwyth Llanbadarn Fawr - Generic,Aberystwyth Parc Y Llyn,59675,28319
241,6024199,Aldridge Anchor Rd - Generic,Aldridge Anchor Road,50257,19719
242,6024299,Bromsgrove Bruntsford Park Rd - Generic,Bromsgrove Buntsford Ind Park,54795,30439
243,6024399,Burntwood High St - Generic,Burntwood High Street,48689,31308
244,6024499,Cannock Mill Street - Generic,Cannock Mill Street,54165,23874
245,6024599,Birmingham Castle Bromwich Chester Rd - Generic,Castle Bromwich Hurst Lane,48941,29165
246,6024699,Coventry Holyhead Rd - Generic,Coventry Holyhead Road,76938,36820
247,6024799,Evesham Davies Rd - Generic,Evesham Four pools Estate,52151,24734
248,6024899,Hereford Commercial Rd - Generic,Hereford Commercial Road,59344,26218
250,6025099,Dudley Kingswinford - Generic,Kingswinford Stallings Lane,38685,21108
251,6025199,Leek Barnfield Close - Generic,Leek Barnfield Close,38889,31594
252,6025299,Leominster Barons Cross Rd - Generic,Leominster Barons Cross Road,51506,27505
253,6025399,Lichfield Beacon St - Generic,Lichfield Beacon Street,49681,25662
254,6025499,Malvern Roman Way - Generic,Malvern Roman Way,73419,35759
255,6025599,Nantwich Station Rd - Generic,Nantwich Station Road,39631,19170
256,6025699,Newcastle UL Goose St - Generic,Newcastle U Lyme Goose Street,62792,30223
257,6025799,Redditch Warwick Highway - Generic,Redditch Warwick Highway,69280,34923
258,6025899,Ross on Wye Station St - Generic,Ross On Wye Station Road,37727,21151
259,6025999,Birmingham Rubery Bristol Rd South - Generic,Rubery Bristol Road South,88034,40098
260,6026099,Rugeley Market St - Generic,Rugeley Market Street,40084,17276
261,6026199,Solihull George Rd - Generic,Solihull Warwick Road,50962,20802
262,6026299,Stone Mill St - Generic,Stone Mill Street,39384,19704
263,6026399,Stratford UA Alcester Rd - Generic,Stratford U Avon Alcester Road,80075,36279
264,6026499,Walsall Lichfield St - Generic,Walsall Lichfield Street,45138,26566
265,6026599,Bangor Holyhead Rd - Generic,Bangor Holyhead Road,41408,20636
266,6026699,Brecon Free St - Generic,Brecon Free Street,33861,16101
267,6026799,Caernarfon North Rd - Generic,Caernarfon North Road,36288,19819
268,6026899,Caerphilly Castle Court - Generic,Caerphilly Castle Court,54354,26280
269,6026999,Cardiff Ty Glas Rd - Generic,Cardiff Ty Glas Road,47255,24658
270,6027099,Carmarthen Parc Pensarn Llanelli Rd - Generic,Carmarthen Llanelli Road,55758,27052
271,6027199,Colwyn Bay Sea View Rd - Generic,Colwyn Bay Sea View Road,36830,18166
272,6027299,Denbigh Smithfield Rd - Generic,Denbigh Smithfield Road,32157,15718
273,6027399,Haverfordwest Bridge Meadow Lane - Generic,Haverfordwest Bridge Meadow,54659,27627
274,6027499,Neath Angel Street - Generic,Neath Castle Street,50774,26102
275,6027599,Beccles George Westwood Way - Generic,Beccles George Westwood Way,38707,20971
276,6027699,Canvey Island Northwick Rd - Generic,Canvey Island Northwick Road,51817,34950
277,6027799,Little Clacton Centenary Way - Generic,Little Clacton,50580,24079
278,6027899,Clacton Waterglade Retail Park - Generic,Clacton Waterglade,43027,23368
279,6027999,Cromer Holt Rd - Generic,Cromer Holt Road,44014,20904
280,6028099,Diss Victoria Rd - Generic,Diss Victoria Road,75122,36767
281,6028199,Southend Eastwood - Generic,Eastwood Western Approaches,25335,14832
282,6028299,Fakenham Clipbush Lane - Generic,Fakenham Clipbush Lane,46910,25783
283,6028399,Felixstowe Grange Farm Avenue - Generic,Felixstowe Cavendish Park,38120,20435
284,6028499,Hadleigh London Rd - Generic,Hadleigh London Road,31581,16877
285,6028599,Harwich Garland Rd - Generic,Harwich Iconfield Park,42270,18966
286,6028699,Lowestoft Tower Rd - Generic,Lowestoft Tower Road,51681,24922
