default_store_number,location_number,building_name,optima_name,gross_internal_area_square_feet,_retail_area_square_feet
Bedford,Bedford,Bedford,,80000,40000
Cardiff,Cardiff,Cardiff,,60000,30000
Croydon,Croydon,Croydon,,72000,36000
Elland,Elland,Elland,,48800,24400
Gloucester,Gloucester,Gloucester,,82000,41000
6054999,Harrow,HARROW,,63600,31800
Hoddesdon,Hoddesdon,Hoddesdon,,60000,30000
Leamington Spa,6054799,Leamington Spa,,82000,41000
Littlehampton,Littlehampton,Littlehampton,LITTLEHAMPTON,49800,24900
Preston,Preston,Preston,,75600,37800
Sheldon,Sheldon,Sheldon,,81400,40700
Sheppey,Sheppey,Sheppey,,63000,31500
Swindon - Dorcan Way,Swindon - Dorcan Way,Swindon - Dorcan Way,,50000,25000
